Exposure,ETF Symbol,ETF Name
ACWI ENERGY,MSCUENR,ACWI ENERGY
ACWI MATERIALS,MSCUMAT,ACWI MATERIALS
ACWI INDUSTRIALS,MSCUIND,ACWI INDUSTRIALS
ACWI CONSUMER DISCRETIONARY,MSCUCDIS,ACWI CONSUMER DISCRETIONARY
ACWI CONSUMER STAPLES,MSCUCSTA,ACWI CONSUMER STAPLES
ACWI HEALTH CARE,MSCUHC,ACWI HEALTH CARE
ACWI FINANCIALS,MSCUFNCL,ACWI FINANCIALS
ACWI INFORMATION TECHNOLOGY,MSCUIT,ACWI INFORMATION TECHNOLOGY
ACWI TELECOMMUNICATION SERVICES,MSCUTEL,ACWI TELECOMMUNICATION SERVICES
ACWI UTILITIES,MSCUUTI,ACWI UTILITIES
EM CONSUMER DISCRETIONARY,MSFUCDIS,EM CONSUMER DISCRETIONARY
EM CONSUMER STAPLES,MSFUCSTA,EM CONSUMER STAPLES
EM ENERGY,MSFUENR,EM ENERGY
EM FINANCIALS,MSFUFNCL,EM FINANCIALS
EM HEALTH CARE,MSFUHC,EM HEALTH CARE
EM INDUSTRIALS,MSFUIND,EM INDUSTRIALS
EM INFORMATION TECHNOLOGY,MSFUIT,EM INFORMATION TECHNOLOGY
EM MATERIALS,MSFUMAT,EM MATERIALS
EM TELECOMMUNICATION SERVICES,MSFUTEL,EM TELECOMMUNICATION SERVICES
EM UTILITIES,MSFUUTI,EM UTILITIES
